UKPRN,HE Provider,Region of HE provider,lat,lon
10000291,Anglia Ruskin University,East of England,,
10007759,Aston University,West Midlands,,
10000571,Bath Spa University,South West,,
10007850,The University of Bath,South West,,
10007152,University of Bedfordshire,East of England,,
10007760,Birkbeck College,London,,
10007140,Birmingham City University,West Midlands,,
10006840,The University of Birmingham,West Midlands,,
10007811,Bishop Grosseteste University,East Midlands,,
10000385,The Arts University Bournemouth,South West,,
10000824,Bournemouth University,South West,,
10007785,The University of Bradford,Yorkshire and The Humber,,
10000886,The University of Brighton,South East,,
10007786,The University of Bristol,South West,,
10000961,Brunel University London,London,,
10000975,Buckinghamshire New University,South East,,
10007788,The University of Cambridge,East of England,,
10003324,The Institute of Cancer Research,London,,
10001143,Canterbury Christ Church University,South East,,
10007141,The University of Central Lancashire,North West,,
10007848,University of Chester,North West,,
10007137,The University of Chichester,South East,,
10001478,"City, University of London",London,,
10001726,Coventry University,West Midlands,,
10007822,Cranfield University,East of England,,
10006427,University for the Creative Arts,South East,,
10007842,University of Cumbria,North West,,
10001883,De Montfort University,East Midlands,,
10007851,University of Derby,East Midlands,,
10007143,University of Durham,North East,,
10007789,The University of East Anglia,East of England,,
10007144,The University of East London,London,,
10007791,The University of Essex,East of England,,
10007792,The University of Exeter,South West,,
10008640,Falmouth University,South West,,
10004511,The National Film and Television School,South East,,
10007145,University of Gloucestershire,South West,,
10002718,Goldsmiths College,London,,
10007146,The University of Greenwich,London,,
10007825,Guildhall School of Music and Drama,London,,
10007147,University of Hertfordshire,East of England,,
10007148,The University of Huddersfield,Yorkshire and The Humber,,
10007149,The University of Hull,Yorkshire and The Humber,,
10003270,"Imperial College of Science, Technology and Medicine",London,,
10007767,Keele University,West Midlands,,
10007150,The University of Kent,South East,,
10003645,King's College London,London,,
10003678,Kingston University,London,,
10007768,The University of Lancaster,North West,,
10003861,Leeds Beckett University,Yorkshire and The Humber,,
10007795,The University of Leeds,Yorkshire and The Humber,,
10003863,Leeds Trinity University,Yorkshire and The Humber,,
10007796,The University of Leicester,East Midlands,,
10007151,The University of Lincoln,East Midlands,,
10003956,Liverpool Hope University,North West,,
10003957,Liverpool John Moores University,North West,,
10006842,The University of Liverpool,North West,,
10003958,Liverpool School of Tropical Medicine,North West,,
10007162,"University of the Arts, London",London,,
10007797,University of London (Institutes and activities),London,,
10004048,London Metropolitan University,London,,
10004078,London South Bank University,London,,
10004063,London School of Economics and Political Science,London,,
10007771,London School of Hygiene and Tropical Medicine,London,,
10004113,Loughborough University,East Midlands,,
10004180,The Manchester Metropolitan University,North West,,
10007798,The University of Manchester,North West,,
10007799,Newcastle University,North East,,
10007138,The University of Northampton,East Midlands,,
10001282,University of Northumbria at Newcastle,North East,,
10004775,Norwich University of the Arts,East of England,,
10007154,University of Nottingham,East Midlands,,
10004797,The Nottingham Trent University,East Midlands,,
10007773,The Open University,South East,,
10004930,Oxford Brookes University,South East,,
10007774,The University of Oxford,South East,,
10007801,University of Plymouth,South West,,
10007155,The University of Portsmouth,South East,,
10007775,Queen Mary University of London,London,,
10007802,The University of Reading,South East,,
10005523,Rose Bruford College of Theatre and Performance,London,,
10007778,Royal College of Music,London,,
10007816,The Royal Central School of Speech and Drama,London,,
10005553,Royal Holloway and Bedford New College,South East,,
10007782,"St George's, University of London",London,,
10007843,"St Mary's University, Twickenham",London,,
10007156,The University of Salford,North West,,
10005790,Sheffield Hallam University,Yorkshire and The Humber,,
10007157,The University of Sheffield,Yorkshire and The Humber,,
10006022,Solent University,South East,,
10007158,The University of Southampton,South East,,
10006299,Staffordshire University,West Midlands,,
10037449,University of St Mark and St John,South West,,
10014001,University of Suffolk,East of England,,
10007159,The University of Sunderland,North East,,
10007160,The University of Surrey,South East,,
10007806,The University of Sussex,South East,,
10007161,Teesside University,North East,,
10008017,Trinity Laban Conservatoire of Music and Dance,London,,
10007784,University College London,London,,
10007163,The University of Warwick,West Midlands,,
10007164,"University of the West of England, Bristol",South West,,
10006566,The University of West London,London,,
10007165,The University of Westminster,London,,
10003614,The University of Winchester,South East,,
10007139,University of Worcester,West Midlands,,
10007713,York St John University,Yorkshire and The Humber,,
10007167,The University of York,Yorkshire and The Humber,,
10004351,Middlesex University,London,,
10007780,SOAS University of London,London,,
10007166,The University of Wolverhampton,West Midlands,,
10007823,Edge Hill University,North West,,
10007779,The Royal Veterinary College,London,,
10000163,AECC University College,South West,,
10000712,University College Birmingham,West Midlands,,
10006841,The University of Bolton,North West,,
10000936,The University College of Osteopathy,London,,
10001653,Conservatoire for Dance and Drama,London,,
10007761,Courtauld Institute of Art,London,,
10040812,Harper Adams University,West Midlands,,
10003854,Leeds Arts University,Yorkshire and The Humber,,
10003945,The Liverpool Institute for Performing Arts,North West,,
10007769,London Business School,London,,
10007832,Newman University,West Midlands,,
10005127,Arts University Plymouth,South West,,
10005389,Ravensbourne University London,London,,
10007776,Roehampton University,London,,
10007835,Royal Academy of Music,London,,
10005545,Royal Agricultural University,South West,,
10007777,Royal College of Art,London,,
10007837,Royal Northern College of Music,North West,,
10007657,Writtle University College,East of England,,
